report_date,planned_turbines,turbine,area,severity,description,oem_notified,photo_count,finding_id
2026-08-29,"WTG 10","","WTG 10 - Blade ID: 000008-PR65.4P-53",,"No defects above Severity 2.",,0,ae9eee4c-ae1d-4706-9bcb-c3e5f37f93cb
2026-08-29,"WTG 10","","WTG 10 - Blade ID: 000160-PR65.4P-53",3,"Laminate crack at approximately R18.5 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,2,68fc29e4-a6fc-4fb9-93e4-c342c6bb0b8f
2026-08-29,"WTG 10","","WTG 10 - Blade ID: 000160-PR65.4P-53",3,"Laminate surface damage with fiberglass exposure at approximately R20 m from the root on the Suction Side (SS), near the Leading Edge (LE)",,1,b37726e8-141d-44c3-a7c1-b141bec546a4
2026-08-29,"WTG 10","","WTG 10 - Blade ID: 000160-PR65.4P-53",3,"Laminate crack at approximately R21.3 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,3,50f5fbf8-4a92-4ce4-af8f-930a264e1fe4
2026-08-31,"WTG 11","","WTG11-Blade ID: 000309-PR54.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R18.5 m from the root on the Suction Side (SS), near the Leading Edge (LE), approximately 7 × 7 cm.",,2,19967e74-2009-4191-9dde-402d8d9e6283
2026-08-31,"WTG 11","","WTG11-Blade ID: 000309-PR54.4P-53",3,"Laminate crack at approximately R20 m from the root on the Suction Side (SS), near the Leading Edge (LE), approximately 3 × 3 cm.",,1,007b895d-255b-40ed-a713-2aa9bf39e419
2026-08-31,"WTG 11","","WTG11-Blade ID: 000309-PR54.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R19.8 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,2,7acd33d8-c935-43cf-85fe-9c5bbae42bd7
2026-08-31,"WTG 11","","WTG11-Blade ID: 000309-PR54.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R16.2 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,2,fa938146-5c37-4c2c-b1b0-e56702d352ce
2026-08-31,"WTG 11","","WTG11-Blade ID: 000309-PR54.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R12.5 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,2,e2e494f9-7813-4fd0-8143-e75e37a72dd3
2026-08-31,"WTG 11","","WTG11-Blade ID: 000309-PR54.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R2.5 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,1,6a30a3a7-d67d-4186-9452-42b7b1e6617e
2026-08-31,"WTG 11","","WTG11-Blade ID: 000311-PR54.4P-53",2,"Laminate surface damage with fiberglass exposure at approximately R2.5 m from the root on the Pressure Side (PS), near the Leading Edge (LE).",,2,34d8fee3-c970-4052-babf-7a558ee86e5d
2026-09-03,"WTG12","","WTG12-BLADE ID: 000135-PR65.4P-53 ",2,"Laminate surface damage with exposed and locally frayed fiberglass at approximately R18.2 m from the root on the Suction side (SS), near the Leading Edge (LE), size approximately 4 × 6 cm.",,1,e5c3e0ba-d7e7-4ac9-a1fe-3ffdadc95cb0
2026-09-03,"WTG12","","WTG12-BLADE ID: 000135-PR65.4P-53 ",3,"Suspected fiberglass fracture at approximately R20.6 m from the root on the Suction side (SS), near the Leading Edge (LE).",,2,7e5a8347-a23a-4e91-b205-6084911ce2a9
2026-09-03,"WTG12","","WTG12-BLADE ID: 000143-PR65.4P-53 ",,"",,0,016d4f27-cac3-4fc5-96bc-691a82a2a2d1
2026-09-04,"WTG 15","","WTG13 Blade ID:000314-pr65.4P-53 ",3,"Fiberglass fracture at approximately R22.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,5,1350997d-fab9-4136-958f-66b8db5f7f65
2026-09-04,"WTG 15","","WTG13 Blade ID:000314-pr65.4P-53 ",3,"Fiberglass fracture at approximately R26.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,2,bc23ab5f-19c3-4f9a-87ab-28f7cb044282
2026-09-04,"WTG 15","","WTG13 Blade ID:000318-pr65.4P-53 ",4,"Suspected laminate delamination at approximately R17.4 m on the Suction Side (SS), near the Trailing Edge (TE), with an approximate size of 1.0 × 1.1 m. The area shows evidence of previous repair and produces a different acoustic response during tap testing.",,11,a9bf16ad-1351-4862-91d4-8d14fe96bf82
2026-09-04,"WTG 15","","WTG13 Blade ID:000320-pr65.4P-53 ",2,"Fiberglass fracture at approximately R8.5 m from the root on the Suction Side (SS), near the Leading Edge (LE), size approximately 4 × 6 cm.",Có,3,fd063cda-5aaa-44ed-85b0-b09b8325a157
2026-09-04,"WTG 15","","WTG13 Blade ID:000320-pr65.4P-53 ",3,"Laminate crack at approximately R24.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,8,3f749bd2-c964-4bb9-84e9-f67265e12d5a
2026-09-04,"WTG 15","","WTG15-Blade ID: 000157-PR65.4P-53",3,"Laminate surface damage with fiberglass exposure at approximately R21.6 m from the root on the Suction Side (SS), near the Leading Edge (LE), with an affected area of approximately 15 × 15 cm.",,4,f346ccf6-4e20-46aa-ad8a-0ce363738307
2026-09-04,"WTG 15","","WTG15-Blade ID: 000157-PR65.4P-53",3,"Laminate surface damage with exposed and locally fractured fiberglass at approximately R22.0 m from the root on the Suction Side (SS), near the Leading Edge (LE), approximately 4 × 6 cm.",,3,cc513932-9f2a-471a-be23-9754559d1b53
2026-09-04,"WTG 15","","WTG15-Blade ID: 000178-PR65.4P-53",,"No defects above Severity 2.",,0,dda40d00-21f4-4cf2-a055-81fd4f187f00
2026-09-04,"WTG 15","","WTG15-Blade ID: 000183-PR65.4P-53",3,"Fiberglass fracture at R13.0 m from root on the Suction Side (SS), near the Leading Edge (LE), approximately 1 × 25 cm.",,4,93ed2a1e-0f78-42ba-852d-761bede7bd99
2026-09-04,"WTG 15","","WTG15-Blade ID: 000183-PR65.4P-53",2,"Fiberglass fracture at R18.0 m from root on the Suction Side (SS), near the Leading Edge (LE), approximately 23 × 1 cm.",,3,ee9eb089-ada9-406a-b81f-dc00ce544139
2026-09-05,"WTG 13 ",""," Blade ID:000318-PR65.4P-53 ",4,"Laminate delamination at approximately R17.4 m on the Suction Side (SS), near the Trailing Edge (TE), with an approximate size of 1.0 × 1.1 m. The area shows evidence of previous repair and produces a different acoustic response during tap testing.",,11,f176f92c-310b-49ce-9069-90ee246d5bbb
2026-09-05,"WTG 13 ","","Blade ID:000314-PR65.4P-53 ",3,"Fiberglass fracture at approximately R22.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,5,ee0839b1-cad3-4e3a-bcb8-d2c4fd3233dd
2026-09-05,"WTG 13 ","","Blade ID:000314-PR65.4P-53 ",3,"Fiberglass fracture at approximately R26.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,2,c1dbd523-34de-446b-b8ae-9e8aa1371526
2026-09-05,"WTG 13 ","","Blade ID:000320-PR65.4P-53 ",1,"Fiberglass fracture at approximately R8.5 m from the root on the Suction Side (SS), near the Leading Edge (LE), size approximately 4 × 6 cm.",,3,d77a6e15-18e6-4c3a-8f0d-a3804c32b9e5
2026-09-05,"WTG 13 ","","Blade ID:000320-PR65.4P-53 ",3,"Laminate crack at approximately R24.5 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,8,19cc5e42-077a-4547-b280-d292233ab1ac
2026-09-07,"WTG 17","","Blade ID: 000312-PR65.4P-53 ",2,"Laminate surface damage with fiberglass exposure at approximately R19 m on the Pressure Side (PS), near the Leading Edge (LE), approximately 7 × 4 cm in size.",,2,3fd6e6cb-b321-4d05-83ac-77f2462d3977
2026-09-07,"WTG 17","","Blade ID: 000312-PR65.4P-53 ",2,"Multiple localized fiberglass fiber breaks and surface laminate damage observed at the Leading Edge (LE).",,13,3dd7b764-596b-4cfb-8605-61aa8d8bca8c
2026-09-07,"WTG 17","","Blade ID: 000313-PR65.4P-53 ",3,"Fiberglass surface layer cracking and fracture at R18.4 m on the Suction Side (SS), near the Leading Edge (LE), approximately 4 × 5 cm.",,2,b9f02350-cb19-49fe-a943-0ba88f094237
2026-09-07,"WTG 17","","Blade ID: 000313-PR65.4P-53 ",2,"Multiple localized fiberglass fiber breaks and surface laminate damage observed at the Leading Edge (LE).",,10,71bc904d-44a8-4cfa-83c2-569608494e8c
2026-09-07,"WTG 17","","Blade ID: 000315-PR65.4P-53 ",3,"Internal fiberglass cracking and fiber fracture within the laminate, near a previous repair area at R14.6 m on the Suction Side (SS), near the Leading Edge (LE).",,2,5a997019-7185-44a6-abe3-548595441c72
2026-09-07,"WTG 17","","Blade ID: 000315-PR65.4P-53 ",2,"Multiple localized fiberglass fiber breaks and surface laminate damage observed at the Leading Edge (LE).",,13,38cecf0e-0f59-43a5-a1ae-6d5c7ef74a27
2026-09-07,"WTG 17","","Blade ID: 000315-PR65.4P-53 ",2,"Surface layer loss at the Leading Edge (LE), approximately R21 m from the root, with a defect size of approximately 80 × 4 cm.",,4,e4466731-b04e-43a4-9c6e-0cbf462df660
2026-09-07,"WTG 17","","Blade ID: 000315-PR65.4P-53 ",3,"Fiberglass layer fracture with localized cracking at R31 m on the Suction Side (SS), near the Trailing Edge (TE).",,4,890a86a9-69e6-48bd-9a2d-93d6041ce899
2026-09-08,"WTG18","","Blade ID: 000169-PR65.4P-53 ",4,"A crack was identified on the shear web in the Trailing Edge (TE) area.",,8,7e23a797-3476-409d-8a62-2b22a14ce118
2026-09-08,"WTG18","","Blade ID: 000174-PR65.4P-53 ",2,"Surface fiberglass fracture at R8.2 m on the Suction Side (SS), near the Leading Edge (LE), approximately 10 × 5 cm.",,10,19958b5a-90da-4710-a020-550119e3f4c3
2026-09-08,"WTG18","","Blade ID: 000174-PR65.4P-53 ",3,"Surface fiberglass fracture at R20 m on the Suction Side (SS), near the Leading Edge (LE), approximately 10 × 3 cm.",,3,6c7ba957-002a-4e2e-ac6f-908084c86b8d
2026-09-08,"WTG18","","Blade ID: 000174-PR65.4P-53 ",4,"Multiple fiberglass fiber breaks with localized fiber deformation and displacement in the surface laminate at R31 m on the Suction Side (SS), near the Trailing Edge (TE).",,5,b0e49aa8-6df1-42ad-a7d7-19e38030b01e
2026-09-08,"WTG18","","Blade ID: 000174-PR65.4P-53 ",4,"A crack was identified on the shear web in the Trailing Edge (TE) area.",,2,87c82e82-6df7-41fb-9bd9-6da331496125
2026-09-08,"WTG18","","Blade ID: 000179-PR65.4P-53 ",2,"Laminate irregularity at the Leading Edge (LE), with evidence of previous repair/reinforcement and suspected localized delamination beneath the laminate surface.",,2,035fc757-ba2f-4fb8-bd1e-2e3d078e77a8
2026-09-08,"WTG18","","Blade ID: 000179-PR65.4P-53 ",4,"A crack was identified on the shear web in the Trailing Edge (TE) area.",,5,ec11c97a-76c0-45b4-9ff0-cac52b270b84
2026-09-09,"WTG 20","","Blade ID: 000012-PR65.4P-53",2,"Surface fiberglass fracture at approximately R6 m from the root on the Suction Side (SS), near the Leading Edge (LE), with an affected area of approximately 20 × 10 cm.",,4,9479b43e-3e0e-4e7e-bbb6-7920586ff215
2026-09-09,"WTG 20","","Blade ID: 000012-PR65.4P-53",3,"Extensive surface laminate delamination.",,6,7ba5c0ac-424d-4720-b987-1a080a951dd5
2026-09-09,"WTG 20","","Blade ID: 000012-PR65.4P-53",3,"Crack at approximately R44.5 m from the root on the Leading Edge (LE).",,4,73e3500d-6bd8-47e2-b968-2e7dc5d18129
2026-09-09,"WTG 20","","Blade ID: 000015-PR65.4P-53",3,"Extensive surface laminate delamination.",,9,01bb2b44-2dc3-4bd9-9848-fd9c7f8affc6
2026-09-09,"WTG 20","","Blade ID: 000015-PR65.4P-53",3,"Fiberglass fracture with a longitudinal crack at approximately R31 m from the root on the Leading Edge (LE).",,3,765141d9-8616-4880-b80a-8780e05b278c
2026-09-09,"WTG 20","","Blade ID: 000015-PR65.4P-53",4,"Fiberglass/laminate crack at approximately R40 m from the root on the Leading Edge (LE), extending in the spanwise direction.",,8,d3811c54-2ec5-4c76-ad1c-606717b20b2a
2026-09-09,"WTG 20","","Blade ID: 000017-PR65.4P-53",3,"Extensive surface laminate delamination.",,12,49d9dfab-3c47-4826-b901-09cb385128b0
2026-09-09,"WTG 20","","Blade ID: 000017-PR65.4P-53",4,"Fiberglass fracture at approximately R20 m from the root on the Suction Side (SS), near the Trailing Edge (TE), with an affected area of approximately 20 cm × 5 cm.",,3,1450b04f-ed09-466a-adc2-2f6f93b19777
2026-09-09,"WTG 20","","Blade ID: 000017-PR65.4P-53",3,"Crack on the laminate at approximately R31 m from the root on the Leading Edge (LE).",,9,68c99e4b-2dd8-43fd-866c-047033a23cb5
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-pr65.4P-53 ",2,"Surface fiberglass fracture at the Leading Edge (LE), Suction Side (SS)",,7,02153fb1-f0cd-4c84-b547-4a24bdb5179d
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-pr65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS).",,3,dfe268ee-d8da-4790-bac6-bedecdf5659c
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-pr65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS).",,2,492c1343-b587-4487-8e81-6297eafae87b
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-pr65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS).",,2,383c6434-779e-40b4-af89-6ee8ff1e6c06
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-pr65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS), approximately R21 m from the blade root. The damaged area is approximately 12 × 15 cm, with cracks and fiberglass fractures extending in multiple directions.",,4,e7e41a48-f4ba-449f-be4d-f8ee190f4d35
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-pr65.4P-53 ",3,"Surface fiberglass delamination and peeling at the Trailing Edge (TE), Suction Side (SS), at R21.4 m. The damaged area is approximately 15 × 15 cm, with surface laminate peeling and frayed fiberglass exposed.",,2,dabad248-93ca-42b9-85fa-23a1fb60b5e9
2026-09-10,"WTG 22","","WTG22 Blade ID:000161-PR65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS), approximately 19.8 m from the blade root. Damage size is approximately 12 × 6 cm.",,3,cc83eb8e-b4d3-4a7d-9842-f37265b492d2
2026-09-10,"WTG 22","","WTG22 Blade ID:000163-pr65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS).",,8,3966eaca-eced-4b46-9f61-21c0601deaa6
2026-09-10,"WTG 22","","WTG22 Blade ID:000166-pr65.4P-53 ",3,"Gouging and material chipping at the Trailing Edge (TE), extending from R12.2 m to R13.0 m. The surface material is damaged and chipped, with underlying fiberglass exposed.",,10,9e595eef-af74-435a-93a1-10fe7a3049df
2026-09-10,"WTG 22","","WTG22 Blade ID:000166-pr65.4P-53 ",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), Suction Side (SS).",,9,34804580-e745-4ae9-af3d-f2f4bd0a4007
2026-09-11,"WTG 16","","Blade ID: 000145-PR65.4P53",3,"Fiberglass fracture at R21 m – SS-LE, approximately 4 × 6 cm in size.",,4,2fd80142-d606-478d-b932-940ab6a26b45
2026-09-11,"WTG 16","","Blade ID: 000145-PR65.4P53",4,"Crack and fiberglass fracture at R31 m – SS-LE. A longitudinal crack is visible on the laminate surface, accompanied by broken and damaged fiberglass fibers along the crack.",,10,96f4f5ec-7fff-48e6-88b5-8132457e3c8e
2026-09-11,"WTG 16","","Blade ID: 000154-PR65.4P53",3,"Fiberglass fracture at R21.3 m – SS-LE, approximately 6 × 3 cm in size.",,4,a982158f-2e15-4cd1-ab1d-c52008d017e4
2026-09-11,"WTG 16","","Blade ID: 000154-PR65.4P53",2,"Surface coating delamination/peeling at R3.2 m – PS-TE, approximately 12 × 10 cm in size.",,3,d0a988ef-7b61-4450-b2c3-7bd316514bde
2026-09-11,"WTG 16","","Blade ID: 000155-PR65.4P53",3,"Crack and surface fiberglass fracture at the Trailing Edge (TE), at R28 m.",,4,4408f6e9-47e1-4d57-9104-0ff3d1f2c428
2026-09-11,"WTG 16","","Blade ID: 000155-PR65.4P53",3,"Fiberglass fracture at R34.5 m near the Trailing Edge (TE), with visible broken and disturbed fiberglass fibers on the blade surface.",,8,5f1cb6cd-b284-4890-8edc-5fd05ecfab70
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000156-PR65.4P-53",2,"Surface adhesive peeling at R29.7 m – SS-LE, approximately 10 × 20 cm in size.",,2,bd9980b4-86ed-4921-ba3d-953b3b97854c
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000156-PR65.4P-53",4,"One broken bolt was found on the balance wall at the LE side, approximately R50.2 m from the root. The nut needs to be removed immediately.",,2,8e6c5974-8c14-45a7-ab19-73c77f71c52d
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000171-PR65.4P-53",2,"Surface adhesive peeling at R14.3 m – SS-LE, approximately 10 × 5 cm in size.",,2,3a577afb-ad90-427d-83dc-f1864ff4da5b
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000171-PR65.4P-53",3,"Crack and fiberglass fracture at 18.4 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,4,6e62b6f4-d57f-40f2-98a0-903806e998c4
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000171-PR65.4P-53",1,"Crack on the web near the Trailing Edge (TE), at 44 m from the root.",,3,32743552-36f6-4316-8106-91aa067fd8f5
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000172-PR65.4P-53",2,"Fiberglass fracture at R18.8 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,3,efa6b6cc-f6de-4b5a-aef2-70ae1afe4b04
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000172-PR65.4P-53",3,"Crack and fiberglass fracture at R18.3 m from the root on the Suction Side (SS), near the Leading Edge (LE), approximately 15 × 5 cm in size.",,3,b03371f4-d132-405b-be0a-fcdd924cbd4d
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000172-PR65.4P-53",3,"Crack and structural adhesive layer damage at R42 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,8,05c5f0ba-3ad8-48d1-9916-68063208254e
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000172-PR65.4P-53",2,"Surface adhesive layer fracture at R42 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,3,70294e79-761e-4bc4-ba55-d39637e4b8d4
2026-09-14,"WTG 14","","WTG14 - BLADE ID: 000172-PR65.4P-53",4,"Crack on the web near the Trailing Edge (TE), at 44 m from the root.",,8,f0ed31cf-fa05-448f-b012-71327ac4b648
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000316-PR65.4P-53",2,"Surface adhesive peeling at R42.5 m from the root on the Suction Side (SS), near the Leading Edge (LE).",,2,2922195f-37c3-4574-8f4d-4d29fb9e1b50
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000316-PR65.4P-53",2,"Suspected fiberglass fracture and delamination at R25.8 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,6,7854df9d-41c3-474d-aa7d-072fd8e07cf7
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000317-PR65.4P-53",4,"Crack and fiberglass fracture at R37 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,4,6a76bb76-4449-4d4e-becf-560a50d5caa2
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000317-PR65.4P-53",2,"Surface fiberglass fractures at several locations.",,9,8820c136-27a8-4ba2-bf37-7bcacb0e4f4c
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000317-PR65.4P-53",2,"Suspected internal fiberglass delamination.",,2,4d8de933-379b-4c28-8288-e19372a6b8a3
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000319-PR65.4P-53",3,"Crack and fiberglass fracture at R24.4 m from the root on the Suction Side (SS), near the Trailing Edge (TE).",,2,367bdf0c-dcc8-485d-8ecd-b7a84c97c4cd
2026-09-15,"WTG 21","","WTG21 - BLADE ID: 000319-PR65.4P-53",2,"Fiberglass fracture at R25 m from the root on the Suction Side (SS), near the Trailing Edge (TE), approximately 65 cm in length.",,4,5d021531-ae04-4531-b70a-5186d646512c
